head/coords/0,head/coords/1,lankle/coords/0,lankle/coords/1,lelbow/coords/0,lelbow/coords/1,lhip/coords/0,lhip/coords/1,lknee/coords/0,lknee/coords/1,lshoulder/coords/0,lshoulder/coords/1,lwrist/coords/0,lwrist/coords/1,pelvis/coords/0,pelvis/coords/1,rankle/coords/0,rankle/coords/1,relbow/coords/0,relbow/coords/1,rhip/coords/0,rhip/coords/1,rknee/coords/0,rknee/coords/1,rshoulder/coords/0,rshoulder/coords/1,rwrist/coords/0,rwrist/coords/1,thorax/coords/0,thorax/coords/1,upperneck/coords/0,upperneck/coords/1
279.3966483,32.90405248,317.0456698,414.4648077,344.3454746,133.5418701,317.0075987,241.556759,322.217369,337.4636838,314.0938374,113.8313677,384.4627002,131.9929504,299.5214656,238.9789197,274.879303,434.3454554,206.0734176,138.0455398,285.7311251,251.818905,286.363239,340.5727386,268.066368,113.5010912,142.7429011,152.4198534,287.1856499,116.1549376,295.8680346,96.31450624
279.0462874,32.86369344,317.0856858,414.4584563,344.6344755,133.4404755,316.9996454,241.4748384,322.182121,337.2796058,313.9550784,113.7510682,384.8219302,132.079849,299.3842317,238.9521024,274.8680877,434.3733408,206.1374285,138.3650592,285.6396672,251.8663597,286.2334822,340.4989434,267.9449466,113.5869978,143.0543424,152.7766797,287.1570394,116.1307142,295.869255,96.2475584
278.6591341,32.86506624,317.0901677,414.4608307,345.0466157,133.3032224,316.9537926,241.3761901,322.1474074,337.011833,313.7936973,113.7039187,385.3668211,132.1443174,299.2271994,238.8970182,274.8437312,434.3614099,206.1674502,138.5840986,285.5597306,251.8728448,286.0483552,340.4234125,267.8539085,113.6863328,143.4338189,152.9000858,287.092953,116.0920333,295.872631,96.2118912
278.2919309,32.8926848,317.059536,414.4806483,345.5297088,133.1555174,316.8795206,241.2879565,322.1142957,336.7132947,313.6272237,113.696327,386.014137,132.1886061,299.0682221,238.830528,274.814377,434.3122957,206.1800384,138.6899949,285.5045888,251.8426131,285.8398246,340.3527834,267.7931782,113.7880326,143.8458157,152.816887,287.0006182,116.0483552,295.8670618,96.2070464
277.9919814,32.92823808,317.000103,414.5250323,346.0577011,133.0169677,316.7941286,241.2261965,322.0834733,336.4267923,313.479977,113.7294387,386.6917798,132.2138976,298.9295386,238.7607955,274.7867392,434.2320346,206.1946106,138.6829376,285.485401,251.7781446,285.6433485,340.2952384,267.7573203,113.8840864,144.2665101,152.5633619,286.8903162,116.0045242,295.8432198,96.22699712
277.7901459,32.95436864,316.9227603,414.5969965,346.6267392,132.8998566,316.7185786,241.1939046,322.0560077,336.1748883,313.3775904,113.798103,387.3429869,132.2224806,298.8330842,238.6871341,274.764519,434.1289997,206.2295917,138.575897,285.5089952,251.6805651,285.4900742,340.2593613,267.7390099,113.9700698,144.6820352,152.1817395,286.773033,115.960617,295.7951738,96.26216896
277.6978112,32.9587552,316.8407821,414.693527,347.2456742,132.8088,316.6726874,241.1812589,322.0342253,335.9560582,313.3408736,113.8915251,387.9278566,132.2180941,298.7963866,238.601456,274.7478867,434.0126611,206.2989043,138.3918765,285.5770304,251.5508653,285.4003718,340.252857,267.7321434,114.0448762,145.0848486,151.7168045,286.658592,115.9126285,295.7212832,96.30168896
277.7078054,32.9370496,316.7677306,414.8049165,347.9243469,132.7417376,316.6707994,241.1681363,322.0220947,335.7475661,313.3805082,113.9939878,388.423424,132.2054291,298.8295936,238.491287,274.7340013,433.8924122,206.4087488,138.1601715,285.6863021,251.3913152,285.3807258,340.2805901,267.7334214,114.1093446,145.4701139,151.2121203,286.5540314,115.8543014,295.6245613,96.3359072
277.7986906,32.89401984,316.7152403,414.9157427,348.6632538,132.6909254,316.7190554,241.1281011,322.0252992,335.5144691,313.4942816,114.0870285,388.8235475,132.1878054,298.9340019,238.3429338,274.7182848,433.7764166,206.5560915,137.9108813,285.829735,251.2067411,285.4240608,340.3431322,267.7425766,114.1646573,145.8336928,150.7059482,286.4631846,115.7790758,295.5126189,96.35787968
277.9410746,32.84290304,316.6913798,415.0075245,349.4487763,132.6441958,316.8141939,241.0334586,322.0500563,335.2219008,313.6669542,114.1518022,389.1397094,132.164345,299.1020966,238.1447981,274.6962355,433.6708544,206.7287827,137.6694867,285.9978483,251.0049818,285.5131341,340.4356768,267.7612307,114.2104723,146.1731437,150.2259443,286.3869664,115.6818387,295.3971674,96.3643648
278.1043053,32.80239104,316.699543,415.0628755,350.2546694,132.5861357,316.9444275,240.860729,322.1015546,334.8476794,313.8731194,114.172096,389.4032288,132.1269229,299.3188858,237.8899002,274.6648595,433.5795021,206.9084358,137.4517062,286.1800768,250.796089,285.6257632,340.5483053,267.7911187,114.2436979,146.4916608,149.7836685,286.3245581,115.5598067,295.2932166,96.35524736
278.2620813,32.79205312,316.7380902,415.0701619,351.0499955,132.4990842,317.0921133,240.595913,322.182007,334.391632,314.0823174,114.1374208,389.6672819,132.0582202,299.5642093,237.5777434,274.6236422,433.5039712,207.0753286,137.2600934,286.3656998,250.5911066,285.7402419,340.6672288,267.8323174,114.258423,146.8041229,149.369545,286.2750054,115.4129792,295.2175142,96.332512
278.3963776,32.82722496,316.8008038,415.0273798,351.8104934,132.3641203,317.2375488,240.2389523,322.2892,333.8796614,314.2654227,114.0457536,390.0080493,131.9317248,299.8157882,237.2158432,274.5747373,433.4443571,207.2154234,137.0827482,286.5448186,250.4002573,285.8397677,340.7774163,267.8822515,114.2469408,147.1430304,148.949776,286.23888,115.2441408,295.1862528,96.29878976
278.4990118,32.91469568,316.8784525,414.9439904,352.528992,132.1630099,317.3632051,239.805641,322.4167251,333.3608243,314.4010925,113.9048384,390.5214688,131.714096,300.0525094,236.8200301,274.5226861,433.3999635,207.3274042,136.8946074,286.7094995,250.2315712,285.9150125,340.8652115,267.9358483,114.201431,147.5622464,148.4670259,286.2192346,115.0587462,295.2121734,96.25614144
278.5713958,33.05118592,316.9606592,414.8400019,353.2216262,131.8805312,317.4570272,239.3257907,322.5560762,332.897625,314.4809914,113.7314989,391.315079,131.3699725,300.2575302,236.4131162,274.4736102,433.3697894,207.4285126,136.6616442,286.8551635,250.0895885,285.9646227,340.9207725,267.986889,114.1166304,148.1364058,147.8455354,286.2210272,114.8645402,295.3012275,96.20567296
278.6229133,33.22486848,317.0378874,414.7424224,353.9270784,131.5068051,317.514,238.83728,322.6999283,332.5513459,314.5125197,113.5488512,392.4942778,130.8680723,300.4202464,236.0217286,274.4342611,433.3525562,207.5567629,136.3470458,286.9816781,249.9739648,285.9939763,340.9395219,268.029785,113.9918899,148.9559366,147.000809,286.2491034,114.670944,295.449753,96.14810944
278.6681747,33.41983808,317.1028326,414.6796608,354.6997453,131.0399245,317.535744,238.3778765,322.8452685,332.3667526,314.5186042,113.3812333,394.1450118,130.1876832,300.5366138,235.6712723,274.4109344,433.3463955,207.7688979,135.9185792,287.0928954,249.8784448,286.0124781,340.9226989,268.0610278,113.8325498,150.1187418,145.8527373,286.3056563,114.487991,295.6429293,96.08478528
278.7233542,33.62228416,317.1510317,414.6754739,355.5990221,130.4867174,317.5283622,237.9769133,322.9938886,332.3604013,314.534359,113.2490157,396.317024,129.323616,300.6077382,235.3804781,274.4084166,433.3483789,208.1338694,135.3562163,287.1943091,249.7903059,286.0301587,340.8771514,268.079319,113.651047,151.7212294,144.3402861,286.3878438,114.3251802,295.8551405,96.0193632
278.8021088,33.82560704,317.1804806,414.7437286,356.6790387,129.8623277,317.4995616,237.650032,323.1501773,332.5166323,314.6011546,113.1639859,399.0124896,128.2886125,300.6371501,235.1578906,274.4293786,433.354025,208.7233734,134.6577837,287.2895622,249.6917722,286.0545728,340.8141709,268.0839923,113.4667206,153.8508128,142.4346163,286.4872742,114.190407,296.052704,95.95825216
278.9118195,34.03213504,317.1905139,414.8852826,357.9804614,129.1875078,317.4559213,237.3983763,323.3166125,332.7922822,314.7590445,113.1277082,402.182617,127.1123123,300.6283763,235.0014496,274.4740678,433.357239,209.6016883,133.8412096,287.3773766,249.5637318,286.0887718,340.7473184,268.0729101,113.3053971,156.5813446,140.1480486,286.5914918,114.0891264,296.198807,95.91022464
279.0515136,34.25041216,317.1807482,415.0876141,359.5259475,128.4844589,317.4010656,237.212448,323.4902573,333.128624,315.0385856,113.1320954,405.7344819,125.8364102,300.5836102,234.9015424,274.5406912,433.3508685,210.8177568,132.9428864,287.4514771,249.3915366,286.1309242,340.6897734,268.0404851,113.1977843,159.9712275,137.5372698,286.6871264,114.0246202,296.2597274,95.88451392
279.211712,34.48867776,317.1503642,415.3273011,361.3172147,127.7729037,317.3347283,237.0788192,323.6609651,333.4666445,315.453911,113.1627654,409.5445254,124.5071411,300.5045888,234.8465728,274.6259117,433.3282758,212.4013139,132.0120621,287.5035098,249.1711046,286.1754227,340.6515885,267.9778669,113.1767654,164.0630534,134.7005082,286.7642976,113.9987565,296.2113382,95.88836672
279.376297,34.74704768,317.098503,415.574503,363.334503,127.0668032,317.2529984,236.9874189,323.813248,333.7605286,315.9983251,113.2035443,413.4766387,123.1673434,300.3945158,234.8286822,274.7255136,433.2855603,214.3638419,131.1030963,287.5281146,248.913193,286.2148666,340.6377984,267.8750989,113.2737734,168.8838003,131.768608,286.8204877,114.0133286,296.0441779,95.92456832
279.5261382,35.01247424,317.0256422,415.7983782,365.5366899,126.373367,317.1496774,236.9368742,323.9301683,333.9861491,316.6435245,113.2408141,417.4002458,121.8498611,300.2605056,234.8474118,274.8348614,433.2236768,216.7032435,130.2671814,287.5274086,248.6436461,286.2425421,340.6476973,267.7255437,113.5143283,174.4444275,128.8916013,286.863136,114.0707398,295.7659718,95.99037184
279.6436499,35.25836928,316.9352339,415.9724902,367.8639987,125.6940845,317.0179942,236.935959,323.9980314,334.1425325,317.3427008,113.2680128,421.2047578,120.5746842,300.1149747,234.9102784,274.9491885,433.1495091,219.4096563,129.5454406,287.5124166,248.3990099,286.2539866,340.6749344,267.5309946,113.913689,180.7382394,126.2223437,286.9098662,114.1736986,295.4011347,96.07696512
279.7183226,35.44956224,316.8348883,416.0789965,370.2423859,125.027008,316.8525312,237.0008467,324.0098189,334.2476461,318.0364416,113.2878874,424.8078157,119.3495558,299.9749568,235.0299072,275.0636102,433.0753709,222.4691008,128.9639661,287.5006291,248.2189562,286.2477875,340.708656,267.3064422,114.4729997,187.7377318,123.8975142,286.9857978,114.3232346,294.9872781,96.17080704
279.7517395,35.55053696,316.7360307,416.1111738,372.5894547,124.3695066,316.6502381,237.1497728,323.9663315,334.3303296,318.6604691,113.3133318,428.1563187,118.1739424,299.8591232,235.2195738,275.1726534,433.016672,225.8628461,128.5306547,287.5108909,248.1371686,286.2249376,340.7350157,267.0823098,115.176201,195.3900147,122.0188902,287.1180915,114.5160294,294.5696832,96.25568384
279.7612954,35.53470592,316.6520122,416.074009,374.8218157,123.7202451,316.4106752,237.3954394,323.8752365,334.4206426,319.1537286,113.3647917,431.2219238,117.0443725,299.7837638,235.4875181,275.2699469,432.9886246,229.5619962,128.2342528,287.5579264,248.1733894,286.1877062,340.7392691,266.9021798,115.9885408,203.612423,120.637207,287.3283194,114.7409056,294.1942406,96.31542208
279.7807885,35.39180736,316.5951539,415.9827802,376.8634413,123.0802534,316.1358259,237.737961,323.7487795,334.540672,319.4662669,113.464432,433.9934918,115.959015,299.7586253,235.83168,275.3479386,433.0027008,233.5195923,128.0458451,287.6488685,248.3276749,286.1384966,340.7082938,266.8157389,116.8574522,212.2900006,119.7427366,287.6245882,114.9769971,293.9001082,96.3368608
279.8566816,35.13206464,316.5738106,415.8600806,378.6541747,122.4534605,315.8303072,238.159561,323.6013792,334.6976659,319.5658496,113.628464,436.4703366,114.920311,299.7846605,236.2357331,275.3987501,433.0641651,237.664375,127.9238893,287.7829549,248.5785677,286.0793114,340.6331827,266.8677139,117.7171328,221.277504,119.2664339,287.995033,115.1938246,293.7134362,96.3127136
280.0395014,34.78557568,316.5904237,415.7316685,380.1566694,121.8455507,315.501785,238.6232378,323.4481811,334.8812864,319.4431302,113.8591002,438.6576461,113.9349363,299.8539546,236.6682054,275.4159738,433.1710528,241.899719,127.8223802,287.9537203,248.8854029,286.0123059,340.51136,267.0862387,118.4966278,230.4070662,119.093056,288.4052275,115.3543091,293.643856,96.2432096
